AUTHOR,TITLE,GENRE,NOTES
"Lu, Marie",Wildcard,YA science fiction,
"Lu, Marie",Legend,YA SCI/FAN,
"Lyga, Barry and Baden, Morgan",The Hive,YA science fiction,
"Lynch, Jim ",The Highest Tide,YA contemporary,
"Maas, Sarah J.",A Court of Thorns and Roses,YA/NA fantasy,
"Maas, Sarah J.",Throne of Glass,YA/NA fantasy,
"Maas, Sarah J.",Kingdom of Ash,YA/NA fantasy,
"Mafi, Tahereh",Shatter Me,"YA science fiction, dystopian, romance",
"Mafi, Tahereh",Unravel Me,"YA science fiction, dystopian, romance",
"Mafi, Tahereh",Ignite Me,"YA science fiction, dystopian, romance",
"Mahoney, Kristen",Annie's Life in Lists,MG contemporary,
"Mangetsu, Dinaw",The Beautiful Things that Heaven Bears,Adult contemporary,
"Martel, Jay",Codebreaker,YA thriller,
"Martel, Yann ",Life of Pi,Literary fiction,
Mary E. Pearson,Dance of Thieves,YA Sci/Fan,
"Mason, Lizzy",The Art of Losing,YA Contemporary,
"Matharu, Taran",The Novice (Summoner #1),MG fantasy,
"Maxwell, John C. ",The 15 Invaluable Laws of Growth,Non-fiction,
"McCullough, David ",1776,Non-fiction,
"McManus, Karen",Nothing More to Tell,YA mystery,
"McManus, Karen",One of Us is Lying,YA mystery,
"McPherson, James M. ",Battle Cry of Freedom,YA non-fiction,
"McQuiston, Casey","Red, White, and Royal Blue",NA romance,
"Messenger, Shannon ",Flashback (Keeper of the Lost Cities #7),MG fantasy,
"Messenger, Shannon ",Exile (Keeper of the Lost Cities #1),MG fantasy,
"Messenger, Shannon ",Everblaze (Keeper of the Lost Cities #3),MG fantasy,
"Messenger, Shannon ",Nightfall (Keeper of the Lost Cities #?),MG fantasy,
"Meyer, Marissa",Cinder,YA SCI/FAN MEYER,
"Meyer, Stephenie ",New Moon,"YA fantasy, romance",
"Meyer, Stephenie ",Eclipse,"YA fantasy, romance",
"Miller, Madeline",Circe,"Fantasy, mythology retelling",
"Miller, Madeline",Song of Achilles,"Fantasy, mythology retelling",
"Miyazaki, Hayao","Spirited Away, v. 1","Manga, fantasy",
"Miyazaki, Hayao","Spirited Away, v. 2","Manga, fantasy",
"Miyazaki, Hayao","Spirited Away, v. 3","Manga, fantasy",
"Morris, Brittney",The Cost of Knowing,"YA fantasy, contemporary",
"Morrison, Toni",Beloved,"Classics, historical fiction, horror",
"Moshfegh, Otessa",My Year of Rest and Relaxation,Literary fiction,
"Muchamore, Robert",CHERUB: The Recruit (Mission 1),"YA adventure, thriller",
"Muchamore, Robert",CHERUB: The Dealer (Mission 2),"YA adventure, thriller",
"Muchamore, Robert",CHERUB: Maximum Security (Mission 3),"YA adventure, thriller",
"Myers, Kate Kae",Inherit Midnight,"YA mystery, thriller",
Nathan Hale,Nathan Hale's Hazardous Tales: Blades of Freedom,"YA graphic novel, non-fiction",
Neal Schusterman,Scythe,YA Sci/Fan,
Neal Schusterman,Scythe,YA Sci/Fan,
Neal Schusterman,Thunderhead,YA Graphic,
"Ness, Patrick",A Monster Calls,YA science fiction,
"Nielsen, Jennifer",Resistance,MG historical fiction,
"Nielsen, Jennifer",Words on Fire,MG historical fiction,
"Niven, Jennifer",All the Bright Places,YA contemporary,
"Niven, Jennifer",Holding Up the Universe,YA contemporary,
"Noah, Trevor",Born a Crime,Memoir,
"O'Connor, Barbara",How to Steal a Dog,MG contemporary,
"O'Hearn, Kate",Pegasus: The Flame of Olympus,MG fantasy,
"Ohaba, Tsugumi","Death Note, Vol. 1","Manga, thriller, fantasy",
"Ohaba, Tsugumi","Death Note, Vol. 2","Manga, thriller, fantasy",
"Ortega, Claribel A.",Frizzy,MG contemporary,
"Orwell, George",1984,"Classics, literary fiction, dystopian",
"Orwell, George",Animal Farm,"Classics, literary fiction, satire",
"Palacio, R.J. ",Wonder,MG/YA contemporary,
"Palacio, R.J. ",The Julian Chapter,MG contemporary,
"Palacio, R.J. ",Pluto,MG contemporary,
"Pan, Emily X. R.",The Astonishing Color of After,YA contemporary,
"Paolini, Christopher",Eldest,YA fantasy,
"Patterson, James ",I Funny,MG contemporary,
"Patterson, James, Hal Friedman",Med Head,Adult memoir,
"Paulsen, Gary ",Hatchet,YA adventure,
Peter Brown,The Wild Robot,J Fiction,
Peter Brown,The Wild Robot Escapes,J Fiction,
Peter Hessler,The Buried: An Archaeology of the Egyptian Revolution,962.056 HES 2019,
"Preston, Natasha",The Cabin,YA mystery,
"Rachel Cohn, David Levithan",Dash and Lily's Book of Dares,YA FIC COHN,
"Reid, Taylor Jenkins",The Seven Husbands of Evelyn Hugo,Adult historical fiction,
"Reintgen, Scott",Nyxia,YA Science Fiction,
"Reintgen, Scott",Nyxia Unleashed,YA Science Fiction,
"Rice, Luanne ",The Secret Language of Sisters,YA contemporary,
"Riordan, Rick ",Percy Jackson's Greek Gods,MG fantasy,
"Riordan, Rick ",Percy Jackson's Greek Heroes,MG fantasy,
"Riordan, Rick ",The Lightning Thief,MG fantasy,
"Riordan, Rick ",The Throne of Fire,MG fantasy,
"Roe, Robin",A List of Cages,YA contemporary,
"Rowell, Rainbow",Carry On,YA fantasy,
"Rowling, J. K. ",Harry Potter and the Order of the Phoenix,YA fantasy,
"Rowling, J. K. ",Harry Potter and the Goblet of Fire,YA fantasy,
"Rowling, J. K. ",Harry Potter and the Prisoner of Azkaban,MG fantasy,
"Rowling, J. K. ",Harry Potter and the Cursed Child,MG/YA fantasy,
"Rowling, J. K. ",Harry Potter and the Deathly Hallows,MG/YA fantasy,
"Roy, Jennifer",MindBlind,YA contemporary,
"Rucka, Greg ",Star Wars: Guardians of the Whills,YA fantasy,
"Rutherford, Mara ",Crown of Coral and Pearl,YA fantasy,
"Sachar, Louis",Holes,MG adventure,
"Sacks, Oliver",The Man Who Mistook His Wife For a Hat and Other Clinical Tales,Non-fiction,
"Salinger, JD",The Catcher in the Rye,YA CLASSIC FIC,
"Satrapi, Marjane ",The Complete Persepolis,"Graphic novel, biography",
"Scarborough, Sheryl ",To Catch a Killer,"YA mystery, thriller",
"Schlosser, Eric ",Fast Food Nation: The Dark Side of the All-American Meal,Non-fiction,
"Schwab, V. E.",Vicious,Adult fantasy,
"Scott Cawthon, Kira Breed-Wrisley",The Silver Eyes,,
"Scott, Michael",The Alchemyst: The Secrets of the Immortal Nicholas Flamel,YA fantasy,
"Selby Jr, Hubert ",Requiem for a Dream,Literary fiction,
"Sepetys, Ruta",I Must Betray You,YA historical fiction,
"Sepetys, Ruta",Salt to the Sea,YA historical fiction,
"Shakespeare, William",Macbeth,Classics,
"Shakespeare, William",Romeo and Juliet,Classics,
"Shelley, Mary",Frankenstein,Classics,
"Shetterly, Margot Lee ",Hidden Figures,Non-fiction,
"Shurtliff, Liesl ",Rump: The True Story of Rumpelstiltskin,MG fantasy,
"Shusterman, Neal",Challenger Deep,"YA contemporary, adventure",
"Silvera, Adam ",History is All you Left Me,YA contemporary,
"Sinclair, Upton ",The Jungle,Classics,
"Sloane, Holly Goldberg",Counting by 7s ,Middle grade contemporary,
"Smith, Jennifer E.",Field Notes on Love,"YA contemporary, romance",
"Soontornvat, Christina",The Tryout,MG graphic memoir,
"Spiegelman, Art ",The Complete Maus,"YA non-fiction, graphic novel",
"Spinelli, Jerry ",Stargirl,YA contemporary,
Stacey Lee,Kill Her Twice,YA Hist Fic,
"Steinbeck, John ",Of Mice and Men,Classics,
"Stine, R. L.",Goosebumps: The Haunted School,Juvenile horror,"Exception, no future acceptances of any book reviews below 6th-grade level"
"Stone, Tamara Ireland",Every Last Word,YA contemporary,
Stuart Gibbs,Spy School,J Fiction,
Stuart Gibbs,Spy School Goes North,J FIC GIBBS,
"Summers, Courtney ",Sadie,"YA mystery, thriller",
"Summy, Barrie",I So Don't Do Mysteries,"MG fantasy, mystery",
"Sundquist, Josh",We Should Hang Out Sometime,"Memoir, contemporary",
"Sutherland, Tui T. ",The Hive Queen (Wings of Fire #12),MG fantasy,
"Swartz, Elly",Dear Student,MG contemporary,
"Tan, Amy ",The Joy Luck Club,Literary fiction,
"Thomas, Angie ",The Hate U Give,YA contemporary,
"Tintera, Amy ",Ruined,YA fantasy,
